"**«Кто-нибудь еще сомневается, что Криштиану был прав насчет тен Хага?».** **Новый твит Пирса Моргана после фиаско «МЮ»

**Не подбирал выражений в сторону голландца 🔥🗣

https://sprts.cc/RuRxNF

@sportsru",0
"**🏒 Уникальный автогол в КХЛ: шайба влетела в пустые ворота, а вратарь параллельно заработал штраф**

Все надеялись, что гол запишут на него 🙃

[https://sprts.cc/D3OubE](https://sprts.cc/D3OubE)

@hockey_sportsru",0
"🔥 ФЕЛИКС ЗАБИВАЕТ ПЕРВЫЙ ГОЛ ЗА «БАРСУ»!

Поздравляем с отличным дебютом, Жоау! 🥳

[**👉 Все новости «Барселоны»](https://t.me/barca_sports)**",0
"🇷🇺😳 **У тренера «Спартака» Абаскаля конфликт со сборной России – спорят из-за Литвинова

**Гильермо не понравились действия и слова врача сборной:

https://sprts.cc/kRuSAI

@sportsru",0
"❌ 🇩🇪** Российскому фигуристу не разрешили выступить под Rammstein – он работал над постановкой 4 месяца. Почему?

**Новая реальность👇

https://sprts.cc/syKg83

@sportsru",0
"**До 90+8 «Тоттенхэм» горел 0:1, но выиграл! Самый поздний камбэк в истории АПЛ 🤯

**Побили свой же рекорд!

https://sprts.cc/F5x3wm

@sportsru",0
"**Луиш Фигу выбрал ДВУХ лучших игроков мира – один из них, конечно, Роналду. А кто второй? Не Месси, не Мбаппе и не Холанд

**Изящный ответ 👏👀

https://sprts.cc/AZuzvo

@sportsru",0
"**ВИДЕО: Новый шедевр Роналду – обыграл финтом саудовца и вколотил мяч в ворота

**Король пустыни 👑

https://sprts.cc/9woPFR

@sportsru",0
"34-летний Мхитарян – главный герой миланского дерби 🔥

Забил по голу в каждом тайме и помог уничтожить «Милан» 🐍💙

[▶️ Подписывайтесь на главный телеграм о спорте](https://t.me/sportsru)",0
"🤷‍♀️** Миллиметры лишили Хейлунда первого гола за «МЮ». Так мяч вышел или нет?

**Эксклюзивный разбор момента от бывшего профессионального арбитра👇

https://sprts.cc/jwImmY

@sportsru",0
"**💥 «Спартак» вырвал победу в концовке матча с «Сочи»

**Гол Бабича приносит 3 важнейших очка и снимает многие вопросы к Абаскалю 🤷🏻‍♂️

@spartak_sportsru",0
"**😵‍💫 «Где ваши бумажки? Это мои вообще!» Загитова – ведущая фигурных прокатов: забывает выключать микрофон и задает странные вопросы
**
А вы считаете есть прогресс за три года? ⤵️

https://sports.ru/tribuna/blogs/streamofconsciousness/3190181.html?utm_source=telegram&utm_medium=figurea

@figureskatingfan",0
"**«Милан» УНИЧТОЖЕН в очередном «Derby della Madonnina» – это уже пятая победа «Интера» над соседями подряд

**Лучший игрок матча – вечно молодой Генрих Мхитарян! 🇦🇲😎

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Крауч – все еще Крауч! Уже 42-летний Питер изящно промахнулся в пустые ворота

**Так может только он 😬👇

https://sprts.cc/MV72Hf

@sportsru",0
"Все внимание на дату: **только посмотрите, когда «МЮ» последний раз стартовал так же плохо, как в этом сезоне – 3 поражения в 5 матчах

**У клуба еще была другая эмблема 🤯👇

https://sprts.cc/sHKEz0

@sportsru",0
"Камбэк с голом Марко Ройса на последней минуте – что еще может сделать фанатов «Боруссии» счастливее? 💛

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Месси хочет, чтобы «Интер Майами» подписал его бывшего партнера по команде – он уже играет в МЛС

**Для полузащитника у него очень результативная статистика 🔥

https://sprts.cc/tn3hx1

@leo_intermiami",0
"**Наряд дня в фигурке – у Саши Степановой! Яркий лиф вместо платья и огромные цепи – отсылка к Синди Кроуфорд

**Просто вау! 😮🔥 

https://sprts.cc/IH52z6

@sportsru",0
"«Он плакал 3-4 часа, мы не могли его остановить»**. 1 конкретный вопрос журналиста, на который Карло Анчелотти ответил этой цитатой

**😭😭😭

https://sprts.cc/SxU1CH

@sportsru",0
"**Армянский волшебник: Генрих Мхитарян СНОВА забил в миланском дерби – он просто не может остановиться

**Ночной кошмар «Милана» 🇦🇲🔥

https://sprts.cc/ChMhQX

@sportsru",0
"**Сердце чемпиона: красивый поступок Эрлинга Холанда, который показывает, какой он человек

**На это обратили внимание во время матча «Сити» ❤️🫡

https://sprts.cc/QA7Hzm

@sportsru",0
"Что Эндж Постекоглу сделал с «Тоттенхэмом»? 🤯

Команда горела в добавленное время, а потом вонзила два за пару минут 😱

Забил даже Ришарлисон (впервые за миллион лет) 👑

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**⚡️ 16-летнюю фигуристку, которая пропала в Москве, в эфире Первого канала спросили о ее поступке

**Алина Горбачева не стала уходить от ответа 🗣

https://sprts.cc/swFvg8

@sportsru",0
"🤷‍♀️🔻 **«Ман Юнайтед» катится куда-то совсем глубоко.** Трудно понять, где у Тен Хага теперь больше проблем – вне поля или в игре

«Брайтон» легко и просто разобрал хозяев на «Олд Траффорд». Банда Де Дзерби превращается в топ-клуб АПЛ 💪

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Момент матча: поступок Игоря Акинфеева во время матча, где ЦСКА проигрывал 0:2

**Когда-нибудь вообще видели такое? 🫣🐴

https://sprts.cc/5z775v

@sportsru",0
"**Форвард «Ахмата» Ильин положил Сафонова на газон и уже решал, как будет праздновать гол – но его не случилось. КАААК?! 😳❌

**Вы пересмотрите это видео 1000 раз:

https://sprts.cc/geQv9c

@sportsru",0
"Жереми Доку забил первый гол за «Сити» и отправил послание всем, кто не верил в него 🤫

Многие действительно сомневались в его уровне 🤷‍♂️

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Россиянин Магомедов победил украинца Блесецкого в 1/4 финала ЧМ по вольной борьбе

**Поступок** **соперников сразу после поединка👇

https://sprts.cc/gMo6C8

@sportsru",0
"**Новый хит от Алины Загитовой: 3 вопроса, которые она задала в прямом эфире Первого канала

**🥶🥶🥶

https://sprts.cc/b34rNR

@sportsru",0
"ВАР отменил гол Хейлунда в дебютном матче на «Олд Траффорд» 😔

Мяч вышел за линию ворот во время атаки 😬

Форварду надо забивать еще 🔜

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Георгий Черданцев опубликовал первый пост в твиттере за 1,5 года

**Теперь знаем, какой вопрос его тревожит👇

https://sprts.cc/TM6ejn

@sportsru",0
"**Он сказал это в прямом эфире Первого канала: 4 слова, которые Максим Траньков произнес после проката фигуристки**, которая пропала в Москве

😶😶😶 

https://sprts.cc/UeEBqN

@sportsru",0
"**«Я играл против Месси на его пике и «Реала» Роналду». Диего Годин назвал лучшего футболиста в истории**

Не испугался быть честным 👇

https://sprts.cc/1YCQzG

@sportsru",0
"❗️** Татьяна Тарасова проболталась об отношениях Трусовой и Кондратюка** – недавно писали, что пара рассталась**
**
Не стала молчать 👇

https://sprts.cc/o5WJLj

@sportsru",0
"😨** Упс, Камила Валиева споткнулась о бортик в финале короткой программы на контрольных прокатах **

Но быстро сориентировалась – и как же красиво обыграла! 😍

https://sprts.cc/NdfHmj

@sportsru",0
"🔥🏒 Сезон КХЛ продолжается топ-матчем между «Ак Барсом» и «Торпедо»!

**Включайте игру прямо сейчас и смотрите ЭКСКЛЮЗИВНО на Кинопоиске** ▶️ https://sirena.world/7THOq8  
 
Реклама. Рекламодатель ООО “Кинопоиск”",0
"💥** «Ливерпуль» эффектно вернулся в матче с «Вулвс» **

Парни Клоппа пустили на 7-й минуте и не могли забить весь первый тайм… а затем просто уничтожили соперника! 💪**
**
Теперь у них 4 победы подряд 😉

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🤷‍♂️** Кто-нибудь объясните Санчо, что рок-звездам уже не место в футболе**

Джейдон живет и трудится так, будто сейчас 70-е – и игнорирует действительность 😡

https://sprts.cc/pOkmKA

@sportsru",0
"😳 **Магия вне Хогвартса: пресс Дэниэла Рэдклиффа в новом сериале – какой-то космос. **Это фото стало хитом интернета

Выглядит как другой человек 👇

https://sprts.cc/cedJ46

@sportsru",0
